Job Title,Job Description,Skills,Company,Location
Data Analyst,"We are looking for a Data Analyst at AI Labs. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Kubernetes, Git, JavaScript, SQL, Machine Learning, AWS, Node.js",AI Labs,Bangalore
NLP Engineer,"We are looking for a NLP Engineer at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","React, Tableau, TensorFlow, Power BI, Node.js, AWS",Amazon,Chennai
Cloud Engineer,"We are looking for a Cloud Engineer at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Tableau, Java, Git, Machine Learning, React, REST APIs, Docker",Accenture,Bangalore
Cloud Engineer,"We are looking for a Cloud Engineer at Netflix. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","TensorFlow, Python, React, Linux, Java, Tableau",Netflix,Pune
Business Analyst,"We are looking for a Business Analyst at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Linux, Python, React, Power BI, Tableau, REST APIs, Git",Accenture,Hyderabad
Frontend Developer,"We are looking for a Frontend Developer at Netflix. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Docker, SQL, Linux, AWS, Machine Learning, React",Netflix,Chennai
AI Engineer,"We are looking for a AI Engineer at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","PyTorch, REST APIs, Python, Kubernetes, Git, Java, Node.js",Google,Mumbai
Frontend Developer,"We are looking for a Frontend Developer at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","React, PyTorch, AWS, Java, Python",Infosys,Remote
AI Engineer,"We are looking for a AI Engineer at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","AWS, Git, Spark, SQL, Docker, Linux, React",Accenture,Mumbai
AI Engineer,"We are looking for a AI Engineer at AI Labs. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","AWS, TensorFlow, Python, Node.js, PyTorch",AI Labs,Mumbai
Business Analyst,"We are looking for a Business Analyst at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Java, Spark, Python, JavaScript, Power BI",Google,Pune
Business Analyst,"We are looking for a Business Analyst at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Machine Learning, TensorFlow, JavaScript, Node.js, REST APIs, Java",Meta,Mumbai
Business Analyst,"We are looking for a Business Analyst at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","NLP, React, AWS, Kubernetes, TensorFlow",Amazon,Pune
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Tableau, React, Linux, AWS, JavaScript",Google,Bangalore
DevOps Engineer,"We are looking for a DevOps Engineer at TCS. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","React, Power BI, Deep Learning, Spark, Java, Git",TCS,Remote
Software Engineer,"We are looking for a Software Engineer at TCS. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","SQL, Machine Learning, REST APIs, PyTorch",TCS,Hyderabad
Business Analyst,"We are looking for a Business Analyst at DataCorp. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Git, JavaScript, TensorFlow, Python",DataCorp,Bangalore
Data Analyst,"We are looking for a Data Analyst at Microsoft. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","SQL, JavaScript, REST APIs, NLP",Microsoft,Pune
Frontend Developer,"We are looking for a Frontend Developer at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","SQL, JavaScript, Deep Learning, Tableau, Docker",Amazon,Mumbai
Business Analyst,"We are looking for a Business Analyst at Microsoft. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Git, Linux, Python, Java, NLP, Power BI",Microsoft,Pune
Software Engineer,"We are looking for a Software Engineer at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","REST APIs, PyTorch, Kubernetes, Deep Learning, Java",Google,Mumbai
NLP Engineer,"We are looking for a NLP Engineer at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","AWS, Tableau, Deep Learning, Git, Power BI, React",Infosys,Pune
NLP Engineer,"We are looking for a NLP Engineer at Microsoft. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Java, Linux, Spark, AWS",Microsoft,Bangalore
Data Scientist,"We are looking for a Data Scientist at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Java, Machine Learning, Deep Learning, React, REST APIs, Python, Power BI",Infosys,Mumbai
Data Analyst,"We are looking for a Data Analyst at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Linux, TensorFlow, Power BI, React, Docker, PyTorch",Amazon,Remote
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Docker, TensorFlow, REST APIs, Deep Learning, Java, Git, Tableau",Infosys,Pune
Software Engineer,"We are looking for a Software Engineer at StartupX. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","PyTorch, SQL, Deep Learning, Python, Power BI, Docker, React",StartupX,Remote
Frontend Developer,"We are looking for a Frontend Developer at AI Labs. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Tableau, Kubernetes, Machine Learning, Deep Learning, AWS, Spark, SQL",AI Labs,Pune
Data Analyst,"We are looking for a Data Analyst at TechNova. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Node.js, Docker, Java, PyTorch, NLP, Power BI, Deep Learning",TechNova,Hyderabad
Software Engineer,"We are looking for a Software Engineer at Cognizant. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","JavaScript, TensorFlow, Linux, Tableau, React",Cognizant,Chennai
DevOps Engineer,"We are looking for a DevOps Engineer at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Deep Learning, Linux, PyTorch, Python, Docker, Spark, React",Infosys,Chennai
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Kubernetes, Python, Git, Deep Learning, SQL, Linux, NLP",Google,Pune
Frontend Developer,"We are looking for a Frontend Developer at Microsoft. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Java, Spark, REST APIs, Deep Learning, Node.js, Machine Learning, TensorFlow",Microsoft,Remote
AI Engineer,"We are looking for a AI Engineer at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","TensorFlow, PyTorch, Linux, Python, AWS",Infosys,Mumbai
Software Engineer,"We are looking for a Software Engineer at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","PyTorch, Power BI, Spark, Deep Learning",Google,Pune
NLP Engineer,"We are looking for a NLP Engineer at Netflix. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Linux, REST APIs, Power BI, TensorFlow, PyTorch",Netflix,Bangalore
NLP Engineer,"We are looking for a NLP Engineer at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Spark, Machine Learning, Power BI, Git",Infosys,Remote
Backend Developer,"We are looking for a Backend Developer at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Machine Learning, AWS, TensorFlow, Spark",Accenture,Remote
Full Stack Developer,"We are looking for a Full Stack Developer at TCS. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Tableau, Spark, Docker, Linux, JavaScript",TCS,Hyderabad
Frontend Developer,"We are looking for a Frontend Developer at StartupX. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","NLP, TensorFlow, Deep Learning, Spark",StartupX,Pune
Cloud Engineer,"We are looking for a Cloud Engineer at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Deep Learning, PyTorch, Linux, SQL, Tableau, React",Infosys,Bangalore
Data Scientist,"We are looking for a Data Scientist at TechNova. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Java, SQL, Kubernetes, JavaScript, Spark, React",TechNova,Chennai
NLP Engineer,"We are looking for a NLP Engineer at DataCorp. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","NLP, React, TensorFlow, Tableau, JavaScript, Git",DataCorp,Hyderabad
NLP Engineer,"We are looking for a NLP Engineer at Netflix. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Docker, SQL, PyTorch, TensorFlow, JavaScript",Netflix,Hyderabad
NLP Engineer,"We are looking for a NLP Engineer at DataCorp. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","REST APIs, PyTorch, Tableau, Spark",DataCorp,Mumbai
Frontend Developer,"We are looking for a Frontend Developer at DataCorp. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Java, SQL, Git, AWS, Tableau, Linux, Python",DataCorp,Mumbai
DevOps Engineer,"We are looking for a DevOps Engineer at StartupX. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","JavaScript, React, Machine Learning, PyTorch, Docker, Kubernetes",StartupX,Hyderabad
Frontend Developer,"We are looking for a Frontend Developer at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Linux, Power BI, Kubernetes, AWS, Java, PyTorch, Deep Learning",Accenture,Mumbai
Data Analyst,"We are looking for a Data Analyst at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Git, Power BI, Node.js, React, TensorFlow, PyTorch, Spark",Amazon,Remote
Cloud Engineer,"We are looking for a Cloud Engineer at DataCorp. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Spark, Node.js, Docker, React",DataCorp,Hyderabad
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at TechNova. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Java, Python, Git, Spark, Deep Learning, Kubernetes, PyTorch",TechNova,Mumbai
Data Scientist,"We are looking for a Data Scientist at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","JavaScript, TensorFlow, AWS, Spark, Power BI, REST APIs",Amazon,Remote
Business Analyst,"We are looking for a Business Analyst at Netflix. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","REST APIs, Tableau, Deep Learning, TensorFlow, Java, Kubernetes",Netflix,Hyderabad
DevOps Engineer,"We are looking for a DevOps Engineer at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","JavaScript, Power BI, Tableau, Spark, Machine Learning",Infosys,Bangalore
AI Engineer,"We are looking for a AI Engineer at TCS. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Docker, PyTorch, Linux, Machine Learning, JavaScript",TCS,Remote
Data Analyst,"We are looking for a Data Analyst at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","TensorFlow, Tableau, AWS, Machine Learning, NLP, Power BI, Deep Learning",Meta,Pune
Software Engineer,"We are looking for a Software Engineer at DataCorp. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Deep Learning, Tableau, PyTorch, REST APIs, Linux, Kubernetes",DataCorp,Chennai
AI Engineer,"We are looking for a AI Engineer at IBM. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","JavaScript, Python, Machine Learning, SQL, REST APIs",IBM,Mumbai
Frontend Developer,"We are looking for a Frontend Developer at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Tableau, Docker, Power BI, Python, Linux, NLP",Infosys,Bangalore
Frontend Developer,"We are looking for a Frontend Developer at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Machine Learning, Tableau, Docker, JavaScript, AWS",Accenture,Remote
NLP Engineer,"We are looking for a NLP Engineer at IBM. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Kubernetes, AWS, Power BI, Spark, Tableau, Java, JavaScript",IBM,Pune
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Netflix. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","NLP, JavaScript, REST APIs, Kubernetes",Netflix,Mumbai
Cloud Engineer,"We are looking for a Cloud Engineer at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","REST APIs, Java, Power BI, PyTorch, NLP",Amazon,Bangalore
Data Analyst,"We are looking for a Data Analyst at IBM. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Tableau, Machine Learning, Git, Java",IBM,Remote
Software Engineer,"We are looking for a Software Engineer at Cognizant. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Deep Learning, Linux, SQL, Spark, TensorFlow, React",Cognizant,Mumbai
Backend Developer,"We are looking for a Backend Developer at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Kubernetes, Deep Learning, Power BI, Spark, React, NLP",Meta,Remote
Backend Developer,"We are looking for a Backend Developer at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","AWS, Linux, React, NLP, Docker",Infosys,Mumbai
Data Scientist,"We are looking for a Data Scientist at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Linux, Machine Learning, Python, Node.js, Kubernetes",Amazon,Remote
DevOps Engineer,"We are looking for a DevOps Engineer at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","REST APIs, NLP, AWS, Machine Learning, Kubernetes",Google,Mumbai
DevOps Engineer,"We are looking for a DevOps Engineer at Cognizant. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Git, NLP, JavaScript, Machine Learning, Python, TensorFlow",Cognizant,Mumbai
Business Analyst,"We are looking for a Business Analyst at StartupX. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","SQL, Power BI, PyTorch, Node.js",StartupX,Pune
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Cognizant. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","NLP, Java, AWS, Machine Learning, Python",Cognizant,Mumbai
Frontend Developer,"We are looking for a Frontend Developer at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Docker, SQL, Git, Power BI, Kubernetes, NLP",Google,Mumbai
Full Stack Developer,"We are looking for a Full Stack Developer at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Docker, Java, Linux, Deep Learning, AWS",Google,Mumbai
Software Engineer,"We are looking for a Software Engineer at IBM. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Linux, REST APIs, TensorFlow, Node.js",IBM,Chennai
Business Analyst,"We are looking for a Business Analyst at IBM. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","React, Kubernetes, Node.js, Tableau, NLP, Deep Learning, Linux",IBM,Pune
Backend Developer,"We are looking for a Backend Developer at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Machine Learning, NLP, Spark, Power BI, TensorFlow, Deep Learning",Amazon,Mumbai
Full Stack Developer,"We are looking for a Full Stack Developer at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Spark, Docker, Machine Learning, Node.js, Tableau, NLP",Accenture,Pune
DevOps Engineer,"We are looking for a DevOps Engineer at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","JavaScript, REST APIs, SQL, PyTorch, TensorFlow, Git, Deep Learning",Accenture,Chennai
NLP Engineer,"We are looking for a NLP Engineer at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Kubernetes, SQL, Power BI, Spark, Docker",Google,Bangalore
Cloud Engineer,"We are looking for a Cloud Engineer at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Linux, REST APIs, Python, Tableau, PyTorch, SQL",Meta,Mumbai
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","TensorFlow, Spark, Linux, Python, Kubernetes, Machine Learning",Accenture,Hyderabad
Data Analyst,"We are looking for a Data Analyst at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","AWS, SQL, REST APIs, NLP, Java",Google,Pune
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","JavaScript, PyTorch, Deep Learning, React, Kubernetes",Meta,Hyderabad
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","SQL, Spark, REST APIs, Git, Kubernetes",Accenture,Remote
NLP Engineer,"We are looking for a NLP Engineer at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Node.js, Python, Tableau, REST APIs, Git, Linux",Google,Chennai
DevOps Engineer,"We are looking for a DevOps Engineer at AI Labs. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Docker, REST APIs, Node.js, React",AI Labs,Remote
DevOps Engineer,"We are looking for a DevOps Engineer at Netflix. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Deep Learning, NLP, PyTorch, Kubernetes, Java, Linux, Machine Learning",Netflix,Remote
Frontend Developer,"We are looking for a Frontend Developer at IBM. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Tableau, Power BI, PyTorch, Spark",IBM,Hyderabad
DevOps Engineer,"We are looking for a DevOps Engineer at Infosys. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","PyTorch, NLP, React, Git, SQL",Infosys,Hyderabad
Data Scientist,"We are looking for a Data Scientist at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Java, TensorFlow, Docker, Linux, Deep Learning, AWS",Google,Bangalore
AI Engineer,"We are looking for a AI Engineer at TCS. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","SQL, Machine Learning, Java, Spark, Git, NLP, TensorFlow",TCS,Bangalore
Data Analyst,"We are looking for a Data Analyst at TechNova. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Deep Learning, Docker, AWS, PyTorch, Node.js",TechNova,Remote
Data Scientist,"We are looking for a Data Scientist at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Power BI, JavaScript, Linux, Node.js, Java, PyTorch, Kubernetes",Meta,Hyderabad
Frontend Developer,"We are looking for a Frontend Developer at AI Labs. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","PyTorch, JavaScript, Java, TensorFlow, Docker, Deep Learning, Python",AI Labs,Bangalore
NLP Engineer,"We are looking for a NLP Engineer at TechNova. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","AWS, Power BI, SQL, Java, PyTorch, NLP",TechNova,Mumbai
Data Analyst,"We are looking for a Data Analyst at TCS. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","PyTorch, Tableau, Java, Kubernetes, TensorFlow, Machine Learning",TCS,Mumbai
Software Engineer,"We are looking for a Software Engineer at Netflix. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Tableau, Python, Linux, Git, Docker, Node.js, Java",Netflix,Hyderabad
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","JavaScript, Linux, SQL, Git, TensorFlow, PyTorch",Meta,Remote
Data Analyst,"We are looking for a Data Analyst at Netflix. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","React, SQL, AWS, Python, JavaScript",Netflix,Chennai
Full Stack Developer,"We are looking for a Full Stack Developer at AI Labs. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Kubernetes, JavaScript, Deep Learning, PyTorch, Power BI, Spark",AI Labs,Chennai
Backend Developer,"We are looking for a Backend Developer at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","TensorFlow, Node.js, Java, AWS, Power BI, JavaScript",Amazon,Pune
Software Engineer,"We are looking for a Software Engineer at TCS. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","NLP, Deep Learning, SQL, Tableau, Python, JavaScript, AWS",TCS,Remote
Data Analyst,"We are looking for a Data Analyst at TCS. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","JavaScript, NLP, AWS, TensorFlow, Git",TCS,Hyderabad
Frontend Developer,"We are looking for a Frontend Developer at TCS. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Kubernetes, NLP, Deep Learning, Spark, PyTorch",TCS,Remote
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at IBM. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","REST APIs, Deep Learning, Kubernetes, Tableau",IBM,Mumbai
Frontend Developer,"We are looking for a Frontend Developer at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Node.js, NLP, TensorFlow, Python, Spark, Git",Meta,Bangalore
Business Analyst,"We are looking for a Business Analyst at StartupX. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Machine Learning, PyTorch, Spark, Python, Docker, SQL",StartupX,Remote
Frontend Developer,"We are looking for a Frontend Developer at StartupX. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","AWS, PyTorch, SQL, Tableau, Node.js, Python",StartupX,Bangalore
Cloud Engineer,"We are looking for a Cloud Engineer at Cognizant. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Java, Spark, Machine Learning, React",Cognizant,Chennai
Backend Developer,"We are looking for a Backend Developer at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Java, AWS, Kubernetes, Python, NLP, Tableau",Meta,Chennai
Data Scientist,"We are looking for a Data Scientist at IBM. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Java, React, Kubernetes, Node.js, AWS",IBM,Pune
Business Analyst,"We are looking for a Business Analyst at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","NLP, Git, Kubernetes, SQL, Node.js, Machine Learning",Google,Hyderabad
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","NLP, Python, SQL, Deep Learning, Java, Spark",Meta,Pune
Full Stack Developer,"We are looking for a Full Stack Developer at Cognizant. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Power BI, React, Spark, REST APIs, JavaScript, Deep Learning, Docker",Cognizant,Bangalore
Data Scientist,"We are looking for a Data Scientist at TCS. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","REST APIs, Deep Learning, Java, Linux, NLP",TCS,Remote
Data Analyst,"We are looking for a Data Analyst at Cognizant. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Deep Learning, REST APIs, Spark, Python, Power BI, SQL",Cognizant,Pune
Cloud Engineer,"We are looking for a Cloud Engineer at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Machine Learning, Java, Python, Spark",Accenture,Hyderabad
NLP Engineer,"We are looking for a NLP Engineer at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Linux, Docker, Machine Learning, React, Deep Learning",Accenture,Mumbai
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Linux, SQL, Java, React, Node.js, TensorFlow, Git",Amazon,Mumbai
AI Engineer,"We are looking for a AI Engineer at StartupX. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Linux, Machine Learning, Docker, Kubernetes",StartupX,Bangalore
Data Analyst,"We are looking for a Data Analyst at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","React, SQL, NLP, Node.js, TensorFlow",Amazon,Remote
Frontend Developer,"We are looking for a Frontend Developer at IBM. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","TensorFlow, Tableau, Python, REST APIs",IBM,Bangalore
DevOps Engineer,"We are looking for a DevOps Engineer at Microsoft. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Machine Learning, Git, Java, NLP",Microsoft,Hyderabad
Data Scientist,"We are looking for a Data Scientist at Microsoft. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Docker, Git, Node.js, NLP, JavaScript, Java",Microsoft,Chennai
Machine Learning Engineer,"We are looking for a Machine Learning Engineer at Microsoft. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Machine Learning, TensorFlow, Kubernetes, Power BI, SQL",Microsoft,Pune
